Código,País,Continentes,Población,Mortalidad de Vida,Esperanza de Vida
MKD,Macedonia,Europe,2081206,10.09,76.2
MLT,Malta,Europe,436947,3.89,80.4
MDA,Moldova,Europe,3552000,40.42,70.7
MCO,Monaco,Europe,38499,5.43,89.5
NLD,Netherlands,Europe,17018408,5.04,81.3
NOR,Norway,Europe,5232929,3.7,81.8
POL,Poland,Europe,37948016,8.51,77.6
PRT,Portugal,Europe,10324611,5.05,79.3
ROU,Romania,Europe,19705301,26.43,75.1
SMR,San Marino,Europe,33203,5.73,83.3
SRB,Serbia,Europe,7057412,12.89,75.5
SVK,Slovakia,Europe,5428704,7.41,77.1
SVN,Slovenia,Europe,2064845,4.45,78.2
ESP,Spain,Europe,46443959,4.42,81.7
SWE,Sweden,Europe,9903122,2.77,82.1
CHE,Switzerland,Europe,8372098,4.39,82.6
UKR,Ukraine,Europe,45004645,20.34,71.8
GBR,United Kingdom,Europe,65637239,5.16,80.7
ATG,Antigua and Barbuda,America,100963,19.46,76.5
BHS,The Bahamas,America,391232,25.21,72.4
BRB,Barbados,America,284996,12.5,75.3
BLZ,Belize,America,366954,25.69,68.7
BMU,Bermuda,America,65331,8.53,81.3
VGB,British Virgin Islands,America,30661,18.05,78.6
CAN,Canada,America,36286425,4.75,81.9
CYM,Cayman Islands,America,60765,8.19,81.2
CRI,Costa Rica,America,4857274,9.95,78.6
CUB,Cuba,America,11475982,6.33,78.7
CUW,Curacao,America,159999,7.5,77.82
DMA,Dominica,America,73543,14.15,77.0
DOM,Dominican Republic,America,10648791,32.38,78.1
SLV,El Salvador,America,6344722,25.1,74.7
GRL,Greenland,America,56186,15.82,72.4
GRD,Grenada,America,107317,14.62,74.3
GUM,Guam,Oceania,162896,6.94,79.58
GTM,Guatemala,America,16582469,35.93,72.3
HTI,Haiti,America,10847334,73.45,63.8
HND,Honduras,America,9112867,29.32,71.1
JAM,Jamaica,America,2881355,12.36,73.6
MEX,Mexico,America,127540423,20.91,75.9
MNE,Montserrat,Europe,622781,7.35,74.4
NIC,Nicaragua,America,6149928,29.11,73.2
PAN,Panama,America,4034119,20.47,78.6
PRI,Puerto Rico,America,3411307,8.24,79.4
SXM,Sint Maarten,America,40005,8.1,78.1
KNA,Saint Kitts and Nevis,America,54821,14.49,75.7
LCA,Saint Lucia,America,178015,13.53,77.8
MAF,Saint Pierre and Miquelon,America,31949,7.54,80.5
VCT,Saint Vincent and the Grenadines,America,109643,14.78,75.3
TTO,Trinidad and Tobago,America,1364962,24.31,72.9
TCA,Turks and Caicos Islands,America,34900,15.67,79.8
USA,United States,America,323127513,6.5,79.8
VIR,Virgin Islands,America,102951,8.03,80.0
ASM,American Samoa,Oceania,55599,9.27,75.4
AUS,Australia,Oceania,24127159,4.69,82.2
FJI,Fiji,Oceania,898760,12.62,72.7
PYF,French Polynesia,Oceania,280208,8.44,77.2
KIR,Kiribati,Oceania,114395,48.52,66.2
MHL,Marshall Islands,Oceania,53066,29.45,73.1
FSM,Micronesia,Oceania,104937,30.21,72.9
NRU,Nauru,Oceania,13049,9.95,67.1
NCL,New Caledonia,Oceania,278000,7.72,77.7
NZL,New Zealand,Oceania,4692700,5.85,81.2
MNP,Northern Mariana Islands,Oceania,55023,7.11,78.0
